"baran";"2021-03-31";"Barany czeka spokojny dzień. Czas odsapnąć i przestać się wszystkim aż tak przejmować. Aura sprzyja układaniu rodzinnych planów, chętnie wybierzecie się też na zakupy ubrań lub kosmetyków. Sprzyjające wam znaki to Byk i Wodnik."
"baran";"2021-03-30";"Barany czeka udany dzień. Nawet w biurze nie będziecie się nudzić. Najnowsze ploteczki i omawianie nowych planów zajmie wam wiele czasu. Popołudnie sprzyja zakupom nowych kreacji, warto też zadbać o urodę. Przychylne wam znaki zodiaku to Bliźnięta i Lew."
"baran";"2021-03-29";"Barany z ochotą zabiorą się za ambitne zadania. Dziś macie wiele sił i odwagi, dzięki którym uporacie się z problemami. W pracy wszystko pójdzie gładko, ale bez potrzeby nie popisujcie się przed innymi. Ktoś zapamięta co mówicie, a potem zacznie was sprawdzać. Przychylne wam znaki zodiaku to Byk i Waga."
"baran";"2021-03-28";"Barany postanowią poszukać nowych przyjaciół, a może nawet wielbicieli. Niedziela to dobry dzień, aby się z kimś spotkać. Uważajcie jednak na to, co i komu mówicie. Pewien krytyczny Skorpion tylko czeka, aby sprawdzić, czy mówicie prawdę. Nie dyskutujcie z nim, bo szybko wyciągnie z was jeszcze więcej sekretów. Sprzyjający wam znak zodiaku to Bliźnięta."
"baran";"2021-03-27";"Barany z wielkim oddaniem zajmą się domowymi sprawami. Nie przesadzajcie z ilością pracy, jaką chcecie dziś w domu wykonać. Nadmiar obowiązków może skończyć się przemęczeniem, a nawet niepotrzebną sprzeczką. Popołudnie sprzyja towarzyskim planom. Dobrej rady udzieli wam sympatyczny Lew."
"baran";"2021-03-26";"Barany poczują przypływ sił życiowych i zabiorą się za nowe przedsięwzięcia. Dzień sprzyja poważnym rozmowom i mądrym decyzjom. Obmyślone plany mają szansę się udać, ale nie pokazujcie wszystkim jak bardzo czujecie się pewni siebie. Sprzyjający wam znak zodiaku to Waga."
"baran";"2021-03-25";"Barany będą energiczne i wesołe. Szybko załatwicie ważne sprawy i jeszcze zostanie wam sporo czasu na przyjemności. Po południu pomyślcie także o sobie, a nawet bądźcie trochę egoistami. Zajmijcie się swoją kondycją i wyglądem lub w towarzystwie przyjaciół wybierzcie się na małe zakupy. Przychylne wam znaki zodiaku to Panna i Strzelec."
"baran";"2021-03-24";"Barany od rana będą niespokojne i bardzo ruchliwe. Nie wymagajcie od ludzi zbyt wiele, a po południu zabierzcie się za porządki i sprawy, które wymagają skupienia i uwagi. Nie słuchajcie też narzekania innych, bo czyjaś straszna historia na chwilę wyprowadzi was z równowagi."
"baran";"2021-03-23";"Barany staną się niezwykle towarzyskie. Wpadniecie na pomysł, aby odwiedzić samotnego przyjaciela, a nawet zorganizujecie przyjęcie. Podczas sympatycznych spotkań nie rozmawiajcie o pieniądzach, bo czyjaś kąśliwa uwaga może wtedy popsuć wam humor. Przychylne wam znaki zodiaku to Lew i Waga."
"baran";"2021-03-22";"Barany czeka sympatyczny dzień. Po ważnych spotkaniach musicie mieć chwilę dla siebie. Warto zrobić plan działań na przyszły tydzień. Wasze spostrzeżenia będą bardzo trafne, a wieczorem intuicja ostrzeże was przed nieżyczliwą osobą. Przychylny wam znak zodiaku to Lew."
"baran";"2021-03-21";"Barany czeka udany dzień. Ktoś sympatyczny pomoże wam uporać się z różnymi obowiązkami i nic was nie zaskoczy. Nie bierzcie jednak na siebie zbyt wielu rodzinnych spraw, bo możecie przecenić swoje siły. Sprzyjający wam znak zodiaku to Koziorożec."
"baran";"2021-03-20";"Barany będą w romansowym nastroju. Słońce wkroczy do waszego znaku i będzie namawiać was na przyjemności. Trudno się wam będzie zabrać się za domowe obowiązki. Zacznijcie dzień od posłuchania ulubionej muzyki, a potem się rozkręcicie. Przychylny wam znak zodiaku to Koziorożec sprzyjająca pora dnia to wieczór."
"baran";"2021-03-19";"Barany poczują się znudzone codziennymi sprawami. Zapragniecie wyjechać w podróż, odwiedzić przyjaciół i zwiedzić nieznane okolice. Niestety, domowe porządki i zaległe sprawy mogą pokrzyżować część waszych planów. Odważnie wyjaśnijcie sprawy, a szybko uporacie się z przeciwnościami. Sprzyjający wam znak zodiaku to Waga."
"baran";"2021-03-18";"Barany będą poważne i obowiązkowe. Dzień sprzyja odważnym decyzjom zawodowym i finansowym. Jakaś sprawa znajdzie dziś swój szczęśliwy finał lub też dowiecie się z czego trzeba zrezygnować. Po południu nie słuchajcie plotek. Sprzyjający wam znak zodiaku to Byk."
"baran";"2021-03-17";"Barany będą w pogodnym nastroju. Nie poddajcie się pokusie lenistwa i rozważcie nawet najdziwniejsze propozycje. Możliwy jest dziś nagły wyjazd w interesach lub propozycja szkolenia, możecie na tym skorzystać. Sprzyjające wam znaki zodiaku to Bliźnięta i Rak."
"baran";"2021-03-16";"Barany będą w swoim żywiole. Wiele osób będzie pytać was o radę i zdanie. Okaże się, że jesteście po prostu niezastąpieni. Dzień sprzyja ważnym rozmowom z szefem. Dzięki rozsądnej taktyce i cierpliwości postawicie na swoim. Aura sprzyja też zdobywaniu nowych umiejętności. Sprzyjający wam znak zodiaku to Strzelec."
"baran";"2021-03-15";"Barany mogą być rozkojarzone, a dzieci spod tego znaku bardziej niż zwykle płaczliwe. Nie przejmujcie się, jeśli coś wam się uda. W trudnych wyborach kierujcie się intuicją, bo ona was nie zawiedzie. Dobrej rady spodziewajcie się od Byka lub Koziorożca, uważajcie na czepialską Pannę."
"baran";"2021-03-14";"Barany czeka miły dzień. Nie planujcie dziś zbyt wielu rodzinnych obowiązków, bo ogarnie was bardzo beztroski nastrój. Chętnie spotkacie się z przyjaciółmi lub wybierzecie na spacer w miłym towarzystwie. Aura sprzyja też hobby, zwłaszcza związanemu ze sztuką. Przychylny wam znak zodiaku to Byk."
"baran";"2021-03-13";"Barany będą dziś bardzo zdecydowane. Ktoś ważny postawi przed wami trudne zadania. Uporacie się ze wszystkim dzięki dobrej organizacji i wyjątkowej intuicji. Wasz talent zostanie doceniony, jednak lepiej nie chwalcie się zbytnio swoimi zarobkami, bo zaraz ktoś zacznie zazdrościć. Sprzyjający wam znak zodiaku to Koziorożec."
